date,opening,Enough,Day high,Day low,volume
7/13/2020,"10,700","10,700","10,700","10,700",-
7/10/2020,"10,500","10,600","10,600","10,500",-
7/9/2020,"10,800","10,700","10,800","10,700",-
7/8/2020,"10,900","10,900","10,900","10,900",-
7/7/2020,"11,100","11,100","11,100","11,100",-
7/6/2020,"11,100","11,100",11.2,"11,100",-
7/3/2020,"10,900","10,900","10,900","10,900",-
7/2/2020,"10,800","10,800","10,800","10,800",-
7/1/2020,"10,600","10,500","10,700","10,500",284
6/30/2020,"10,500","10,400","10,500","10,400",-
6/29/2020,"10,500","10,600","10,600","10,500",-
6/26/2020,"10,800","10,800","10,800","10,800",-
6/25/2020,"10,700","10,800","10,800","10,700",-
6/24/2020,"11,000","11,100","11,100","11,000",-
23-Jun-20,"11,100","11,100","11,100","11,100",-
6/22/2020,"11,300",11.2,"11,300",11.2,-
6/19/2020,"11,300","11,300","11,300","11,300",-
6/18/2020,"11,500","11,500","11,500","11,500",-
17-Jun-20,"11,600","11,700","11,700","11,600",-
16-Jun-20,"11,700","11,700","11,900","11,700",-
15-Jun-20,11.2,"11,100",11.2,"11,100",-
6/12/2020,11.2,"11,000",11.2,"11,000","1,000"
6/11/2020,"11,600","11,400","11,600","11,400",-
6/10/2020,"12,200","12,300","12,800","12,200",35
6/9/2020,"12,600","12,500","12,600","12,400",-
6/8/2020,"12,500","12,600","12,600","12,500",-
6/5/2020,"11,800","11,800","11,900","11,800",-
04.06.2020,11.2,"11,100",11.2,"11,100",-
6/3/2020,"11,400","11,500","11,500","11,400",-
6/2/2020,"11,400","11,300","11,400","11,300",-
5/29/2020,"11,700","11,600","11,700","11,600",-
5/28/2020,"11,900","11,800","11,900","11,800",-
5/27/2020,"11,300","11,300","11,300",11.2,-
5/26/2020,"10,700","10,700","10,700","10,700",-
5/25/2020,"10,300","10,300","10,400",10.2,-
5/22/2020,10.1,10.1,10.2,10.1,-
5/21/2020,"10,600","10,600","10,600","10,500",-
5/20/2020,"10,600","10,600","10,600","10,600",-
5/19/2020,"10,700","10,600","10,700","10,600",-
18-May-20,"10,500","10,600","10,600","10,500",-
5/15/2020,"11,000","10,900","11,000","10,900",-
5/14/2020,"11,100","11,100","11,100","11,000",-
5/13/2020,11.2,11.2,11.2,11.2,-
5/12/2020,11.2,"11,300","11,300",11.2,-
5/11/2020,"11,400",11.2,"11,400",11.2,-
5/8/2020,"11,100","11,100","11,100","11,100",-
5/7/2020,"11,000","11,100","11,100","11,000",-
5/6/2020,"11,400","11,500","11,500","11,400",-
5/5/2020,"11,300","11,400","11,400","11,300",-
5/4/2020,"11,500",11.2,"11,500",11.2,-
4/30/2020,"11,600","11,500","11,600","11,500",-
4/29/2020,"11,400","11,400","11,400","11,400",-
4/28/2020,"11,300","11,400","11,500","11,300",-
27-Apr-20,11.2,11.2,11.2,11.2,-
24-Apr-20,"10,700","10,700","10,800","10,700",-
4/23/2020,"10,500","10,400","11,100","10,400",900
4/22/2020,"10,300","10,300","10,300",10.2,-
4/21/2020,"10,800","10,800","10,800","10,700",-
20-Apr-20,11.2,"11,100",11.2,"11,100",-
17-Apr-20,11.2,"11,000",11.2,"11,000",-
16-Apr-20,11.2,11.2,11.2,11.2,-
15-Apr-20,"11,300","11,100","11,300","11,100",-
4/14/2020,"11,300","11,300","11,300","11,300",-
4/9/2020,"11,300","11,300","11,300","11,300",-
"April 8th, 2020","11,400","11,400","11,400","11,400",-
4/7/2020,"11,500","11,500","11,600","11,500",-
4/6/2020,"11,000","11,000","11,000","11,000",-
4/3/2020,"10,600","10,600","10,700","10,600",-
4/2/2020,"10,400","10,500","10,500","10,400",-
4/1/2020,"10,600","10,700","10,700","10,600",-
31-Mar-20,"10,600","10,800","10,800","10,600",-
30-Mar-20,"10,700","10,800","10,800","10,700",-
27-Mar-20,"11,100","10,900","11,100","10,900",-
26-Mar-20,"10,800","11,300","11,300","10,800",-
25-Mar-20,"11,000","11,000","11,000","11,000",-
24-Mar-20,10.2,"10,600","10,600",10.2,-
3/23/2020,"9,650","9,500","9,750","9,500",-
20-Mar-20,"9,750","9,550","10,000","9,550",-
19-Mar-20,"9,500","9,650","9,750","9,400",-
3/18/2020,"9,000",9.25,9.25,"8,900",69
17-Mar-20,"8,850","8,850","8,900","8,550",-
16-Mar-20,"8,750","8,500","8,800","8,500",-
13-Mar-20,"8,950","9,100","9,350","8,950",500
3/12/2020,"9,550","9,200","9,550","9,200",-
3/11/2020,10.1,"10,000",10.1,"10,000",-
3/10/2020,"9,950","9,950","10,000","9,850",-
"March 9th, 2020","9,950","10,000","10,300","9,950",500
3/6/2020,"11,100","11,000","11,100","11,000",-
05.03.2020,"11,500","11,400","11,500","11,400",-
"March 4th, 2020","11,500","11,600","11,600","11,500",-
03.03.2020,"11,700","11,700","11,800","11,700",-
02.03.2020,"11,900","11,900","12,000","11,800",-
2/28/2020,"12,100","12,100","12,200","12,000",-
2/27/2020,"12,500","12,300","12,500","12,200",-
