Date,Open,High,Low,Close,Adj Close,Volume
2016-01-04,60.660000,61.070000,59.820000,60.430000,52.719463,10538700
2016-01-05,60.450001,60.950001,60.279999,60.639999,52.902676,7863000
2016-01-06,59.869999,59.950001,59.459999,59.750000,52.126232,9598800
2016-01-07,58.529999,59.500000,58.230000,58.320000,50.878693,8951400
2016-01-08,58.810001,59.009998,57.299999,57.450001,50.119698,8282700
2016-01-11,57.889999,58.000000,56.840000,57.689999,50.329086,9637600
2016-01-12,58.200001,58.389999,57.299999,57.959999,50.564621,8550000
2016-01-13,59.160000,59.349998,56.500000,56.669998,49.439224,12610000
2016-01-14,56.779999,57.820000,56.380001,57.299999,49.988842,9118500
2016-01-15,55.439999,56.320000,55.310001,56.090000,48.933231,11694000
2016-01-19,56.529999,57.090000,55.840000,56.160000,48.994297,10187800
2016-01-20,54.509998,55.720001,53.490002,55.049999,48.025917,16217200
2016-01-21,55.110001,56.119999,55.049999,55.310001,48.252750,8286400
2016-01-22,56.349998,56.930000,55.660000,56.349998,49.160053,9544500
2016-01-25,56.180000,56.470001,55.320000,55.360001,48.296371,10235200
2016-01-26,56.230000,56.639999,55.590000,55.910000,48.776188,11816800
2016-01-27,55.520000,56.020000,54.470001,54.540001,47.580997,15174500
2016-01-28,55.009998,55.299999,54.180000,54.709999,47.729317,12172600
2016-01-29,55.070000,56.480000,54.889999,56.480000,49.273476,10818700
2016-02-01,55.820000,56.820000,55.380001,56.290001,49.107716,12280800
2016-02-02,55.480000,55.720001,55.160000,55.330002,48.270203,12799600
2016-02-03,55.380001,55.380001,52.470001,54.310001,47.380337,17506100
2016-02-04,54.169998,54.779999,53.689999,54.020000,47.127350,12286900
2016-02-05,53.910000,54.009998,52.500000,53.369999,46.560284,13321500
2016-02-08,52.509998,52.650002,51.849998,52.299999,45.626808,15839600
2016-02-09,51.410000,52.869999,51.299999,52.250000,45.583191,11267500
2016-02-10,52.730000,53.459999,52.419998,52.450001,45.757668,10241200
2016-02-11,51.049999,51.470001,50.380001,50.520000,44.073933,18848100
2016-02-12,51.750000,54.250000,51.330002,53.000000,46.237495,17512800
2016-02-16,53.000000,53.490002,51.799999,52.060001,45.417427,13233000
2016-02-17,52.700001,53.480000,52.250000,52.669998,45.949608,9892300
2016-02-18,51.959999,52.290001,51.549999,51.919998,45.295296,8637600
2016-02-19,51.900002,51.930000,51.299999,51.529999,44.955055,9108000
2016-02-22,52.049999,52.259998,51.820000,52.099998,45.452328,7219900
2016-02-23,52.009998,52.029999,50.799999,51.060001,44.545033,6899700
2016-02-24,50.419998,51.130001,50.230000,50.919998,44.422901,7576700
2016-02-25,50.799999,51.450001,50.389999,51.369999,44.815475,8151200
2016-02-26,51.880001,51.910000,50.970001,51.090000,44.571209,8815800
2016-02-29,51.099998,51.130001,50.200001,50.200001,43.794758,11746500
